,recency,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,DM_category,marital_status
1,6,38.4,0,1,Surburban,0,Phone,Mens E-Mail,1,0,3,Single_Women
2,9,29.99,0,1,Surburban,0,Web,No E-Mail,1,0,5,Single_Women
3,6,529.2,1,1,Surburban,1,Phone,Mens E-Mail,1,0,5,Married
4,10,308.12,1,1,Rural,0,Web,No E-Mail,1,0,11,Married
5,7,261.3,0,1,Surburban,1,Multichannel,Womens E-Mail,1,0,1,Single_Women
6,7,107.41,1,0,Urban,1,Web,Mens E-Mail,1,0,2,Single_Man
7,9,355.17,0,1,Urban,0,Phone,Mens E-Mail,1,1,3,Single_Women
8,3,35.49,0,1,Rural,0,Phone,No E-Mail,1,0,5,Single_Women
9,9,200.82,1,1,Surburban,0,Web,Mens E-Mail,1,0,5,Married
10,4,124.48,1,0,Surburban,0,Web,Mens E-Mail,1,0,2,Single_Man
11,2,289.43,1,1,Rural,0,Web,Mens E-Mail,1,0,5,Married
12,10,161.65,1,0,Urban,0,Phone,No E-Mail,1,0,6,Single_Man
13,1,289.83,1,0,Rural,0,Multichannel,Womens E-Mail,1,0,4,Single_Man
14,10,29.99,1,0,Surburban,0,Web,Womens E-Mail,1,0,4,Single_Man
15,1,68.1,0,1,Surburban,0,Web,Womens E-Mail,1,0,1,Single_Women
16,2,692.66,1,1,Urban,1,Multichannel,Mens E-Mail,1,0,5,Married
17,6,2583.84,1,1,Urban,1,Multichannel,Mens E-Mail,1,0,5,Married
18,2,29.99,0,1,Urban,1,Web,Mens E-Mail,1,0,3,Single_Women
19,9,365.32,0,1,Surburban,0,Multichannel,Mens E-Mail,1,0,3,Single_Women
20,1,211.19,0,1,Rural,0,Web,Womens E-Mail,1,0,1,Single_Women
21,2,34.04,0,1,Urban,1,Web,Womens E-Mail,1,0,1,Single_Women
22,2,89.48,0,1,Rural,1,Phone,No E-Mail,1,0,5,Single_Women
23,10,98.93,1,0,Rural,0,Phone,Mens E-Mail,1,0,2,Single_Man
24,1,137.8,1,0,Rural,1,Web,Womens E-Mail,1,0,4,Single_Man
25,9,276.87,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
26,1,492.13,1,0,Urban,0,Phone,No E-Mail,1,0,6,Single_Man
27,4,199.28,1,0,Surburban,0,Web,Mens E-Mail,1,0,2,Single_Man
28,1,366.54,0,1,Urban,0,Web,Womens E-Mail,1,0,1,Single_Women
29,2,846.69,1,1,Rural,1,Multichannel,No E-Mail,1,0,11,Married
30,1,29.99,0,1,Surburban,0,Web,No E-Mail,1,0,5,Single_Women
31,7,329.65,0,1,Surburban,0,Phone,No E-Mail,1,0,5,Single_Women
32,1,29.99,0,1,Surburban,1,Web,Womens E-Mail,1,0,1,Single_Women
33,11,283.09,1,0,Rural,0,Web,Womens E-Mail,1,0,4,Single_Man
34,2,431.04,0,1,Urban,0,Multichannel,Womens E-Mail,1,0,1,Single_Women
35,5,42.38,1,0,Urban,1,Phone,No E-Mail,1,0,6,Single_Man
36,2,123.38,0,1,Urban,0,Web,No E-Mail,1,0,5,Single_Women
37,11,109.19,0,1,Surburban,1,Web,Mens E-Mail,1,1,3,Single_Women
38,2,66.15,0,1,Surburban,0,Phone,Womens E-Mail,1,0,1,Single_Women
39,8,237.83,0,1,Surburban,0,Multichannel,No E-Mail,1,0,5,Single_Women
40,12,100.28,0,1,Rural,1,Phone,Mens E-Mail,1,0,3,Single_Women
41,3,161.73,0,1,Surburban,1,Phone,No E-Mail,1,0,5,Single_Women
42,9,400.84,1,1,Urban,0,Web,Mens E-Mail,1,0,5,Married
43,1,53.69,1,0,Surburban,0,Phone,Womens E-Mail,1,0,4,Single_Man
44,1,97.67,1,0,Urban,0,Phone,Mens E-Mail,1,0,2,Single_Man
45,2,216.86,1,1,Surburban,1,Multichannel,Womens E-Mail,1,0,5,Married
46,4,64.35,1,0,Surburban,0,Phone,Mens E-Mail,1,0,2,Single_Man
47,3,1561.93,0,1,Urban,1,Multichannel,Womens E-Mail,1,0,1,Single_Women
48,2,476.04,1,1,Urban,0,Phone,Mens E-Mail,1,0,5,Married
49,3,154.97,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
50,3,179.92,1,0,Urban,0,Phone,Mens E-Mail,1,0,2,Single_Man
51,7,463.96,0,1,Rural,0,Phone,No E-Mail,1,0,5,Single_Women
52,1,547.69,1,1,Rural,1,Multichannel,No E-Mail,1,0,11,Married
53,5,766.46,1,1,Rural,1,Multichannel,No E-Mail,1,0,11,Married
54,9,34.64,1,0,Surburban,0,Web,Mens E-Mail,1,0,2,Single_Man
55,8,95.78,1,0,Urban,0,Web,No E-Mail,1,0,6,Single_Man
56,8,90.24,0,1,Urban,0,Phone,No E-Mail,1,0,5,Single_Women
57,1,207.94,1,1,Urban,0,Web,Womens E-Mail,1,0,5,Married
58,9,227.9,1,1,Urban,1,Phone,Womens E-Mail,1,0,5,Married
59,2,29.99,0,1,Urban,0,Phone,Womens E-Mail,1,0,1,Single_Women
60,10,46.5,0,1,Surburban,1,Web,Mens E-Mail,1,0,3,Single_Women
61,12,340.74,1,1,Surburban,0,Web,Mens E-Mail,1,0,5,Married
62,6,428.89,1,0,Surburban,0,Web,Mens E-Mail,1,0,2,Single_Man
63,2,401.56,1,1,Surburban,0,Web,Womens E-Mail,1,0,5,Married
64,12,441.55,1,1,Urban,1,Web,No E-Mail,1,0,11,Married
65,3,399.26,1,1,Rural,0,Web,No E-Mail,1,0,11,Married
66,3,29.99,1,0,Surburban,1,Phone,Mens E-Mail,1,0,2,Single_Man
67,6,85.54,0,1,Urban,1,Web,Womens E-Mail,1,0,1,Single_Women
68,10,82.59,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
69,2,91.99,1,0,Surburban,1,Web,Womens E-Mail,1,0,4,Single_Man
70,3,118.18,0,1,Urban,1,Web,Mens E-Mail,1,0,3,Single_Women
71,5,943.74,1,1,Surburban,1,Multichannel,Womens E-Mail,1,0,5,Married
72,4,535.4,1,1,Rural,1,Multichannel,Mens E-Mail,1,0,5,Married
73,9,107.28,1,0,Urban,0,Web,Womens E-Mail,1,0,4,Single_Man
74,12,115.39,0,1,Surburban,0,Phone,Mens E-Mail,1,0,3,Single_Women
75,1,564.39,1,0,Urban,1,Phone,Mens E-Mail,1,0,2,Single_Man
76,2,41.53,0,1,Urban,1,Web,Mens E-Mail,1,0,3,Single_Women
77,2,164.83,0,1,Urban,0,Web,Mens E-Mail,1,0,3,Single_Women
78,10,29.99,0,1,Surburban,1,Web,No E-Mail,1,0,5,Single_Women
79,11,29.99,1,0,Surburban,0,Phone,Mens E-Mail,1,0,2,Single_Man
80,11,31.33,0,1,Rural,1,Phone,Mens E-Mail,1,0,3,Single_Women
81,9,550.07,1,1,Surburban,1,Multichannel,No E-Mail,1,0,11,Married
82,2,262.66,0,1,Surburban,1,Web,Mens E-Mail,1,0,3,Single_Women
83,12,91.6,0,1,Rural,0,Phone,Mens E-Mail,1,0,3,Single_Women
